round,dropout_count,dropout_round,global_accuracy,num_participated,num_available,participating_cids,dropped_data_share
1,2,20,0.7278,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
2,2,20,0.8917,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
3,2,20,0.8694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
4,2,20,0.8972,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
5,2,20,0.8306,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
6,2,20,0.8333,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
7,2,20,0.7833,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
8,2,20,0.8361,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
9,2,20,0.8111,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
10,2,20,0.8694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
11,2,20,0.8528,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
12,2,20,0.9028,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
13,2,20,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
14,2,20,0.9111,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
15,2,20,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
16,2,20,0.9222,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
17,2,20,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
18,2,20,0.9222,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
19,2,20,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
20,2,20,0.9194,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
21,2,20,0.9139,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
22,2,20,0.9361,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
23,2,20,0.9222,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
24,2,20,0.9389,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
25,2,20,0.9250,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
26,2,20,0.9389,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
27,2,20,0.9306,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
28,2,20,0.9417,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
29,2,20,0.9361,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
30,2,20,0.9417,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
31,2,20,0.9389,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
32,2,20,0.9444,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
33,2,20,0.9444,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
34,2,20,0.9472,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
35,2,20,0.9444,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
36,2,20,0.9472,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
37,2,20,0.9472,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
38,2,20,0.9500,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
39,2,20,0.9444,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
40,2,20,0.9500,6,8,"[1, 3, 4, 5, 6, 7]",0.2500
