round,scheme,global_accuracy,num_participated,num_available,participating_cids
1,a,0.5083,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
2,a,0.4750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
3,a,0.5806,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
4,a,0.6056,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
5,a,0.2667,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
6,a,0.3750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
7,a,0.6278,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
8,a,0.4889,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
9,a,0.6639,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
10,a,0.6250,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
11,a,0.7444,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
12,a,0.7306,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
13,a,0.7389,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
14,a,0.7639,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
15,a,0.7611,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
16,a,0.7806,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
17,a,0.7806,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
18,a,0.7778,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
19,a,0.7611,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
20,a,0.7444,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
21,a,0.7500,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
22,a,0.7694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
23,a,0.7500,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
24,a,0.7750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
25,a,0.7778,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
26,a,0.7778,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
27,a,0.7750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
28,a,0.7694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
29,a,0.7889,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
30,a,0.7861,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
31,a,0.7917,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
32,a,0.7861,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
33,a,0.7861,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
34,a,0.7861,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
35,a,0.7972,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
36,a,0.7917,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
37,a,0.7861,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
38,a,0.7917,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
39,a,0.7917,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
40,a,0.7889,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
