round,scheme,global_accuracy,num_participated,num_available,participating_cids
1,iid,0.9361,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
2,iid,0.9417,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
3,iid,0.9528,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
4,iid,0.9500,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
5,iid,0.9528,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
6,iid,0.9583,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
7,iid,0.9639,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
8,iid,0.9583,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
9,iid,0.9611,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
10,iid,0.9583,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
11,iid,0.9611,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
12,iid,0.9583,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
13,iid,0.9639,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
14,iid,0.9583,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
15,iid,0.9611,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
16,iid,0.9750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
17,iid,0.9667,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
18,iid,0.9667,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
19,iid,0.9806,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
20,iid,0.9778,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
21,iid,0.9750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
22,iid,0.9722,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
23,iid,0.9806,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
24,iid,0.9750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
25,iid,0.9694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
26,iid,0.9833,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
27,iid,0.9722,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
28,iid,0.9778,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
29,iid,0.9750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
30,iid,0.9750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
31,iid,0.9694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
32,iid,0.9806,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
33,iid,0.9750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
34,iid,0.9694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
35,iid,0.9750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
36,iid,0.9694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
37,iid,0.9722,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
38,iid,0.9833,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
39,iid,0.9833,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
40,iid,0.9861,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
