round,scheme,global_accuracy,num_participated,num_available,participating_cids
1,non_iid,0.2167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
2,non_iid,0.6972,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
3,non_iid,0.6583,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
4,non_iid,0.7778,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
5,non_iid,0.7333,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
6,non_iid,0.8472,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
7,non_iid,0.8222,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
8,non_iid,0.8083,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
9,non_iid,0.9028,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
10,non_iid,0.8417,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
11,non_iid,0.8750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
12,non_iid,0.8306,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
13,non_iid,0.8944,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
14,non_iid,0.8806,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
15,non_iid,0.8667,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
16,non_iid,0.8667,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
17,non_iid,0.8500,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
18,non_iid,0.8639,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
19,non_iid,0.8361,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
20,non_iid,0.8583,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
21,non_iid,0.8278,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
22,non_iid,0.8611,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
23,non_iid,0.8556,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
24,non_iid,0.8917,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
25,non_iid,0.8694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
26,non_iid,0.8333,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
27,non_iid,0.9000,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
28,non_iid,0.9000,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
29,non_iid,0.8667,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
30,non_iid,0.8611,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
31,non_iid,0.8861,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
32,non_iid,0.9250,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
33,non_iid,0.8944,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
34,non_iid,0.9056,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
35,non_iid,0.9111,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
36,non_iid,0.9083,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
37,non_iid,0.8750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
38,non_iid,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
39,non_iid,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
40,non_iid,0.8528,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
