round,scheme,global_accuracy
1,non_iid,0.2107
2,non_iid,0.2325
3,non_iid,0.2427
4,non_iid,0.2432
5,non_iid,0.2513
6,non_iid,0.2751
7,non_iid,0.2766
8,non_iid,0.2736
9,non_iid,0.2989
10,non_iid,0.3060
11,non_iid,0.3146
12,non_iid,0.2994
13,non_iid,0.3384
14,non_iid,0.3308
15,non_iid,0.3186
16,non_iid,0.3308
17,non_iid,0.3602
18,non_iid,0.3409
19,non_iid,0.3536
20,non_iid,0.3627
21,non_iid,0.3658
22,non_iid,0.3708
23,non_iid,0.3774
24,non_iid,0.3759
25,non_iid,0.3789
26,non_iid,0.3764
27,non_iid,0.3865
28,non_iid,0.4058
29,non_iid,0.3896
30,non_iid,0.4053
