round,mode,dropout_rate,clients_per_round,global_accuracy,per_class_accuracy,num_participated,num_available,comm_cost,participating_cids
1,client_dropout,0.0,4,0.7139,"{""0"": 0.7878787878787878, ""1"": 0.7857142857142857, ""2"": 0.8787878787878788, ""3"": 0.6764705882352942, ""4"": 0.9130434782608695, ""5"": 0.48936170212765956, ""6"": 1.0, ""7"": 0.5882352941176471, ""8"": 0.0, ""9"": 0.925}",4,8,2600,"[2, 3, 5, 7]"
2,client_dropout,0.0,4,0.8500,"{""0"": 1.0, ""1"": 0.5357142857142857, ""2"": 0.9393939393939394, ""3"": 0.6764705882352942, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.8333333333333334, ""9"": 0.65}",4,8,2600,"[0, 1, 2, 5]"
3,client_dropout,0.0,4,0.7306,"{""0"": 0.9393939393939394, ""1"": 0.8214285714285714, ""2"": 0.48484848484848486, ""3"": 1.0, ""4"": 0.8913043478260869, ""5"": 0.5957446808510638, ""6"": 1.0, ""7"": 0.9411764705882353, ""8"": 0.0, ""9"": 0.575}",4,8,2600,"[0, 4, 6, 7]"
4,client_dropout,0.0,4,0.8028,"{""0"": 1.0, ""1"": 0.35714285714285715, ""2"": 1.0, ""3"": 0.08823529411764706, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7333333333333333, ""9"": 0.825}",4,8,2600,"[1, 2, 3, 7]"
5,client_dropout,0.0,4,0.7833,"{""0"": 1.0, ""1"": 0.9285714285714286, ""2"": 0.5757575757575758, ""3"": 1.0, ""4"": 0.8260869565217391, ""5"": 0.7021276595744681, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.0, ""9"": 0.8}",4,8,2600,"[0, 1, 3, 5]"
6,client_dropout,0.0,4,0.8222,"{""0"": 0.9696969696969697, ""1"": 0.07142857142857142, ""2"": 1.0, ""3"": 0.5, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.85}",4,8,2600,"[3, 5, 6, 7]"
7,client_dropout,0.0,4,0.7889,"{""0"": 1.0, ""1"": 0.9285714285714286, ""2"": 0.3939393939393939, ""3"": 1.0, ""4"": 0.8260869565217391, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.1, ""9"": 0.775}",4,8,2600,"[1, 5, 6, 7]"
8,client_dropout,0.0,4,0.8194,"{""0"": 0.9696969696969697, ""1"": 0.10714285714285714, ""2"": 0.9696969696969697, ""3"": 0.5588235294117647, ""4"": 0.9782608695652174, ""5"": 0.7659574468085106, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.875}",4,8,2600,"[0, 2, 5, 7]"
9,client_dropout,0.0,4,0.7972,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.7272727272727273, ""3"": 1.0, ""4"": 0.9130434782608695, ""5"": 0.8723404255319149, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.23333333333333334, ""9"": 0.35}",4,8,2600,"[2, 5, 6, 7]"
10,client_dropout,0.0,4,0.8139,"{""0"": 0.9696969696969697, ""1"": 0.2857142857142857, ""2"": 0.9696969696969697, ""3"": 0.29411764705882354, ""4"": 0.9782608695652174, ""5"": 0.7446808510638298, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9, ""9"": 0.925}",4,8,2600,"[0, 2, 5, 7]"
