round,mode,dropout_rate,clients_per_round,global_accuracy,per_class_accuracy,num_participated,num_available,comm_cost,participating_cids
1,model_dropout,0.75,8,0.7361,"{""0"": 0.9090909090909091, ""1"": 0.7142857142857143, ""2"": 1.0, ""3"": 0.8529411764705882, ""4"": 1.0, ""5"": 0.2765957446808511, ""6"": 0.9714285714285714, ""7"": 0.8529411764705882, ""8"": 0.0, ""9"": 0.775}",8,8,1309,"[0, 1, 2, 3, 4, 5, 6, 7]"
2,model_dropout,0.75,8,0.7444,"{""0"": 0.9696969696969697, ""1"": 0.6071428571428571, ""2"": 0.9696969696969697, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.48936170212765956, ""6"": 0.9714285714285714, ""7"": 0.7058823529411765, ""8"": 0.23333333333333334, ""9"": 0.55}",8,8,1315,"[0, 1, 2, 3, 4, 5, 6, 7]"
3,model_dropout,0.75,8,0.7806,"{""0"": 0.9696969696969697, ""1"": 0.5714285714285714, ""2"": 0.9696969696969697, ""3"": 1.0, ""4"": 1.0, ""5"": 0.6595744680851063, ""6"": 0.9714285714285714, ""7"": 0.7941176470588235, ""8"": 0.36666666666666664, ""9"": 0.45}",8,8,1370,"[0, 1, 2, 3, 4, 5, 6, 7]"
4,model_dropout,0.75,8,0.8667,"{""0"": 1.0, ""1"": 0.75, ""2"": 0.9696969696969697, ""3"": 1.0, ""4"": 1.0, ""5"": 0.7659574468085106, ""6"": 1.0, ""7"": 0.9117647058823529, ""8"": 0.5333333333333333, ""9"": 0.7}",8,8,1352,"[0, 1, 2, 3, 4, 5, 6, 7]"
5,model_dropout,0.75,8,0.8528,"{""0"": 1.0, ""1"": 0.75, ""2"": 0.9393939393939394, ""3"": 1.0, ""4"": 1.0, ""5"": 0.7021276595744681, ""6"": 1.0, ""7"": 0.9411764705882353, ""8"": 0.43333333333333335, ""9"": 0.725}",8,8,1263,"[0, 1, 2, 3, 4, 5, 6, 7]"
6,model_dropout,0.75,8,0.8667,"{""0"": 0.9696969696969697, ""1"": 0.7857142857142857, ""2"": 0.9393939393939394, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9411764705882353, ""8"": 0.43333333333333335, ""9"": 0.775}",8,8,1305,"[0, 1, 2, 3, 4, 5, 6, 7]"
7,model_dropout,0.75,8,0.8806,"{""0"": 1.0, ""1"": 0.75, ""2"": 0.9696969696969697, ""3"": 0.9705882352941176, ""4"": 1.0, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.43333333333333335, ""9"": 0.825}",8,8,1231,"[0, 1, 2, 3, 4, 5, 6, 7]"
8,model_dropout,0.75,8,0.8750,"{""0"": 1.0, ""1"": 0.7857142857142857, ""2"": 0.9393939393939394, ""3"": 1.0, ""4"": 1.0, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.4, ""9"": 0.775}",8,8,1341,"[0, 1, 2, 3, 4, 5, 6, 7]"
9,model_dropout,0.75,8,0.8944,"{""0"": 1.0, ""1"": 0.7857142857142857, ""2"": 0.9090909090909091, ""3"": 1.0, ""4"": 1.0, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.6333333333333333, ""9"": 0.8}",8,8,1297,"[0, 1, 2, 3, 4, 5, 6, 7]"
10,model_dropout,0.75,8,0.8889,"{""0"": 1.0, ""1"": 0.7857142857142857, ""2"": 0.9393939393939394, ""3"": 1.0, ""4"": 1.0, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.5, ""9"": 0.825}",8,8,1336,"[0, 1, 2, 3, 4, 5, 6, 7]"
11,model_dropout,0.75,8,0.8889,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 1.0, ""4"": 1.0, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.43333333333333335, ""9"": 0.85}",8,8,1266,"[0, 1, 2, 3, 4, 5, 6, 7]"
12,model_dropout,0.75,8,0.8889,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 1.0, ""4"": 1.0, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.4666666666666667, ""9"": 0.85}",8,8,1289,"[0, 1, 2, 3, 4, 5, 6, 7]"
13,model_dropout,0.75,8,0.8917,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9705882352941176, ""4"": 1.0, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.5333333333333333, ""9"": 0.85}",8,8,1255,"[0, 1, 2, 3, 4, 5, 6, 7]"
14,model_dropout,0.75,8,0.8944,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9705882352941176, ""4"": 1.0, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.5666666666666667, ""9"": 0.85}",8,8,1282,"[0, 1, 2, 3, 4, 5, 6, 7]"
15,model_dropout,0.75,8,0.9000,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 1.0, ""4"": 1.0, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.6, ""9"": 0.85}",8,8,1271,"[0, 1, 2, 3, 4, 5, 6, 7]"
16,model_dropout,0.75,8,0.8972,"{""0"": 1.0, ""1"": 0.7857142857142857, ""2"": 0.9090909090909091, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.6666666666666666, ""9"": 0.85}",8,8,1335,"[0, 1, 2, 3, 4, 5, 6, 7]"
17,model_dropout,0.75,8,0.9000,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.6666666666666666, ""9"": 0.85}",8,8,1268,"[0, 1, 2, 3, 4, 5, 6, 7]"
18,model_dropout,0.75,8,0.9000,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 1.0, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.6333333333333333, ""9"": 0.85}",8,8,1308,"[0, 1, 2, 3, 4, 5, 6, 7]"
