round,malicious_pct,run_id,global_accuracy
1,20.0,4,0.9167
2,20.0,4,0.9028
3,20.0,4,0.9361
4,20.0,4,0.9333
5,20.0,4,0.9222
6,20.0,4,0.9444
7,20.0,4,0.9361
8,20.0,4,0.9500
9,20.0,4,0.9472
10,20.0,4,0.9528
11,20.0,4,0.9528
12,20.0,4,0.9472
13,20.0,4,0.9528
14,20.0,4,0.9444
15,20.0,4,0.9472
16,20.0,4,0.9417
17,20.0,4,0.9417
18,20.0,4,0.9528
19,20.0,4,0.9583
20,20.0,4,0.9500
21,20.0,4,0.9583
22,20.0,4,0.9556
23,20.0,4,0.9500
24,20.0,4,0.9500
25,20.0,4,0.9472
26,20.0,4,0.9500
27,20.0,4,0.9583
28,20.0,4,0.9556
29,20.0,4,0.9528
30,20.0,4,0.9583
31,20.0,4,0.9500
32,20.0,4,0.9556
33,20.0,4,0.9500
34,20.0,4,0.9500
35,20.0,4,0.9417
36,20.0,4,0.9500
37,20.0,4,0.9472
38,20.0,4,0.9500
39,20.0,4,0.9500
40,20.0,4,0.9472
