round,clients_per_round,global_accuracy,num_participated,total_clients,participating_cids
1,4,0.6750,4,10,"[0, 3, 4, 7]"
2,4,0.6028,4,10,"[0, 1, 6, 8]"
3,4,0.8000,4,10,"[0, 2, 6, 7]"
4,4,0.6778,4,10,"[1, 2, 4, 8]"
5,4,0.8333,4,10,"[1, 2, 7, 8]"
6,4,0.7917,4,10,"[1, 3, 5, 6]"
7,4,0.8750,4,10,"[0, 2, 6, 9]"
8,4,0.7778,4,10,"[0, 1, 3, 7]"
9,4,0.8639,4,10,"[0, 3, 4, 5]"
10,4,0.7917,4,10,"[0, 1, 4, 7]"
11,4,0.8361,4,10,"[5, 6, 8, 9]"
12,4,0.8278,4,10,"[1, 7, 8, 9]"
13,4,0.8972,4,10,"[1, 2, 4, 6]"
14,4,0.9111,4,10,"[1, 2, 3, 8]"
15,4,0.8750,4,10,"[1, 4, 6, 9]"
16,4,0.9111,4,10,"[0, 3, 8, 9]"
17,4,0.9167,4,10,"[3, 4, 5, 9]"
18,4,0.9083,4,10,"[0, 1, 2, 3]"
19,4,0.9083,4,10,"[0, 1, 5, 8]"
20,4,0.9139,4,10,"[0, 1, 3, 8]"
21,4,0.9139,4,10,"[2, 5, 7, 9]"
22,4,0.9194,4,10,"[5, 6, 7, 8]"
23,4,0.9222,4,10,"[0, 4, 6, 9]"
24,4,0.9222,4,10,"[0, 6, 7, 9]"
25,4,0.9222,4,10,"[0, 5, 7, 9]"
26,4,0.9250,4,10,"[3, 6, 7, 8]"
27,4,0.9194,4,10,"[1, 2, 4, 9]"
28,4,0.9306,4,10,"[0, 1, 6, 9]"
29,4,0.9333,4,10,"[1, 3, 5, 7]"
30,4,0.9167,4,10,"[5, 6, 8, 9]"
31,4,0.9306,4,10,"[0, 1, 7, 8]"
32,4,0.9222,4,10,"[0, 2, 5, 7]"
33,4,0.9250,4,10,"[1, 3, 6, 9]"
34,4,0.9250,4,10,"[2, 4, 6, 9]"
35,4,0.9389,4,10,"[1, 2, 3, 7]"
36,4,0.9278,4,10,"[1, 4, 7, 8]"
37,4,0.9389,4,10,"[0, 1, 3, 6]"
38,4,0.9278,4,10,"[3, 5, 7, 9]"
39,4,0.9417,4,10,"[1, 2, 8, 9]"
40,4,0.9333,4,10,"[0, 1, 4, 5]"
