round,dropout_count,dropout_round,global_accuracy,num_participated,num_available,participating_cids,dropped_data_share
1,0,20,0.7278,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
2,0,20,0.8917,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
3,0,20,0.8694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
4,0,20,0.8972,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
5,0,20,0.8306,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
6,0,20,0.8333,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
7,0,20,0.7833,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
8,0,20,0.8361,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
9,0,20,0.8111,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
10,0,20,0.8694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
11,0,20,0.8528,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
12,0,20,0.9028,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
13,0,20,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
14,0,20,0.9111,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
15,0,20,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
16,0,20,0.9222,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
17,0,20,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
18,0,20,0.9222,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
19,0,20,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
20,0,20,0.9250,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
21,0,20,0.9194,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
22,0,20,0.9361,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
23,0,20,0.9139,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
24,0,20,0.9417,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
25,0,20,0.9250,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
26,0,20,0.9389,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
27,0,20,0.9194,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
28,0,20,0.9444,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
29,0,20,0.9306,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
30,0,20,0.9417,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
31,0,20,0.9306,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
32,0,20,0.9444,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
33,0,20,0.9417,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
34,0,20,0.9444,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
35,0,20,0.9417,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
36,0,20,0.9444,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
37,0,20,0.9417,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
38,0,20,0.9472,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
39,0,20,0.9417,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
40,0,20,0.9472,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
