round,dropout_count,global_accuracy,num_participated,num_available,participating_cids
1,6,0.5750,2,8,"[1, 5]"
2,6,0.8417,2,8,"[1, 5]"
3,6,0.7528,2,8,"[1, 5]"
4,6,0.7972,2,8,"[1, 5]"
5,6,0.7333,2,8,"[1, 5]"
6,6,0.8056,2,8,"[1, 5]"
7,6,0.7889,2,8,"[1, 5]"
8,6,0.8139,2,8,"[1, 5]"
9,6,0.8417,2,8,"[1, 5]"
10,6,0.8194,2,8,"[1, 5]"
11,6,0.8611,2,8,"[1, 5]"
12,6,0.8917,2,8,"[1, 5]"
13,6,0.8972,2,8,"[1, 5]"
14,6,0.8833,2,8,"[1, 5]"
15,6,0.9056,2,8,"[1, 5]"
16,6,0.8833,2,8,"[1, 5]"
17,6,0.9028,2,8,"[1, 5]"
18,6,0.8833,2,8,"[1, 5]"
19,6,0.9056,2,8,"[1, 5]"
20,6,0.8889,2,8,"[1, 5]"
21,6,0.9028,2,8,"[1, 5]"
22,6,0.8917,2,8,"[1, 5]"
23,6,0.9083,2,8,"[1, 5]"
24,6,0.8917,2,8,"[1, 5]"
25,6,0.9083,2,8,"[1, 5]"
26,6,0.8917,2,8,"[1, 5]"
27,6,0.9083,2,8,"[1, 5]"
28,6,0.8917,2,8,"[1, 5]"
29,6,0.9056,2,8,"[1, 5]"
30,6,0.8972,2,8,"[1, 5]"
31,6,0.9028,2,8,"[1, 5]"
32,6,0.9028,2,8,"[1, 5]"
33,6,0.9056,2,8,"[1, 5]"
34,6,0.9056,2,8,"[1, 5]"
35,6,0.9056,2,8,"[1, 5]"
36,6,0.9056,2,8,"[1, 5]"
37,6,0.9083,2,8,"[1, 5]"
38,6,0.9083,2,8,"[1, 5]"
39,6,0.9083,2,8,"[1, 5]"
40,6,0.9083,2,8,"[1, 5]"
