round,scheme,global_accuracy,num_participated,num_available,participating_cids
1,b,0.2889,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
2,b,0.5361,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
3,b,0.6389,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
4,b,0.6944,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
5,b,0.5389,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
6,b,0.6361,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
7,b,0.6639,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
8,b,0.5889,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
9,b,0.7000,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
10,b,0.7056,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
11,b,0.7139,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
12,b,0.7806,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
13,b,0.7472,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
14,b,0.8028,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
15,b,0.8250,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
16,b,0.8139,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
17,b,0.8056,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
18,b,0.8222,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
19,b,0.8389,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
20,b,0.8222,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
21,b,0.8306,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
22,b,0.8417,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
23,b,0.8333,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
24,b,0.8278,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
25,b,0.8417,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
26,b,0.8583,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
27,b,0.8583,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
28,b,0.8694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
29,b,0.8694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
30,b,0.8611,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
31,b,0.8556,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
32,b,0.8750,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
33,b,0.8722,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
34,b,0.8861,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
35,b,0.8639,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
36,b,0.8861,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
37,b,0.8694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
38,b,0.8778,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
39,b,0.8944,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
40,b,0.8889,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]"
